id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
13,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,0,0,3,0.5,1,6,1,6,2,0.0,0,False
14,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,0,0,3,1.0,1,4,1,4,1,0.0,0,False
15,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,2,1.0,0,0,0,0,1,0.0,0,False
16,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
17,4,5,2,0,1,8,3,0.17,4,3,1,13,1,0,18,0,0,0,28.22,8.25,1920.54,0.08,53,0.12,106.7,232.79,0,2,4,12,0.12,22,31,12,9,25,5.26,18,False
18,20,21,14,4,16,38,11,0.28,18,10,0,62,11,1,36,0,10,0,57.99,23.06,30850.19,0.45,245,0.04,1713.9,1337.56,1,10,19,53,0.14,110,135,31,13,78,35.71,40,False
19,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
20,4,15,2,2,3,26,1,0.06,12,1,1,32,1,0,15,0,0,0,27.8,22.5,14073.95,0.21,116,0.04,781.89,625.51,1,7,13,26,0.03,45,71,21,21,33,25.0,17,False
21,3,1,0,0,3,0,1,0.5,0,1,1,1,1,0,2,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,1,0,0,2,0.1,0,3,0,3,10,60.0,2,False
22,2,13,4,1,8,24,7,0.13,12,6,0,30,6,0,54,0,5,0,25.11,40.0,40181.42,0.33,184,0.03,2232.3,1004.54,0,6,12,25,0.1,80,104,22,22,68,14.29,55,False
23,2,1,1,6,3,0,1,0.08,0,1,1,3,1,0,6,0,0,0,60.1,3.63,792.63,0.07,47,0.28,44.04,218.26,1,0,0,4,0.05,23,24,19,6,19,60.0,12,False
24,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
25,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,1,0,0,3,0.5,4,8,4,7,2,0.0,0,False
26,2,7,1,0,0,12,4,0.36,6,2,0,14,3,0,11,0,4,1,12.35,16.0,3162.47,0.07,45,0.06,175.69,197.65,0,3,6,12,0.29,16,29,7,14,14,0.0,11,False
27,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,0,False
28,1,9,5,0,0,14,5,0.42,6,3,0,21,3,0,12,0,0,0,17.46,16.55,4779.2,0.1,63,0.06,265.51,288.85,0,4,7,18,0.29,28,35,11,13,17,0.0,12,False
29,7,11,12,0,2,20,1,0.03,10,1,1,32,1,0,31,0,1,1,73.7,9.74,6995.99,0.24,130,0.1,388.67,718.06,1,5,10,28,0.02,62,68,35,11,42,6.06,31,False
30,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1.0,2,4,2,4,1,0.0,0,False
31,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
32,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,0,False
33,1,3,1,0,0,4,2,0.2,2,2,1,5,1,0,10,4,2,1,28.45,14.0,5576.96,0.13,82,0.07,309.83,398.35,0,1,2,5,0.11,30,52,15,14,18,0.0,10,False
34,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,2,0.5,0,0,0,0,2,0.0,0,False
35,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10.0,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50.0,8,False
36,0,1,2,0,0,0,1,1.0,0,1,1,3,1,0,0,0,1,1,7.33,4.5,148.5,0.01,11,0.22,8.25,33.0,1,0,0,4,1.0,3,8,2,6,1,0.0,0,False
37,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
38,4,7,1,1,8,12,4,0.17,6,1,0,20,1,0,23,0,0,0,23.26,21.67,10918.18,0.17,113,0.05,606.57,503.92,0,3,6,18,0.11,52,61,12,10,38,28.13,24,False
39,11,21,14,6,17,38,11,0.26,18,10,0,65,11,1,36,0,9,0,57.5,25.16,36402.08,0.48,265,0.04,2022.34,1446.75,1,10,19,56,0.15,120,145,31,13,72,38.98,42,False
40,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,0,0,3,0.5,2,5,2,5,2,0.0,0,False
41,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.25,1,3,1,3,4,0.0,2,False
42,2,3,1,0,1,4,2,0.22,2,2,1,6,1,0,9,0,0,0,12.73,6.75,580.17,0.03,22,0.15,32.22,85.95,0,1,2,6,0.14,9,13,6,9,14,10.0,9,False
43,0,3,0,0,0,6,2,1.0,2,1,0,5,1,0,0,0,2,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0,2,3,5,2.0,2,4,2,4,1,0.0,0,False
44,0,3,0,0,0,6,2,1.0,2,1,0,5,1,0,0,0,2,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0,2,3,5,2.0,2,4,2,4,1,0.0,0,False
45,2,3,2,1,0,4,2,0.13,2,2,1,6,1,0,15,0,2,1,56.19,14.88,12432.2,0.28,156,0.07,690.68,835.78,0,1,2,6,0.09,42,114,24,17,22,6.25,16,False
46,3,3,3,0,3,4,2,0.33,2,2,1,7,1,0,6,0,0,0,16.61,3.0,149.49,0.02,15,0.33,8.3,49.83,0,1,2,7,0.14,6,9,5,5,14,33.33,6,False
47,3,9,10,4,3,12,5,0.26,4,2,0,23,4,0,15,0,1,0,38.41,12.48,5980.45,0.16,92,0.08,332.25,479.27,0,4,6,20,0.19,41,51,23,14,27,31.82,19,False
48,4,5,4,0,3,8,3,0.16,4,2,0,14,1,0,19,0,0,0,18.99,31.5,18845.31,0.2,114,0.03,1046.96,598.26,0,2,4,13,0.11,51,63,17,21,28,13.64,19,False
49,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
50,2,7,1,0,0,12,4,0.36,6,2,0,14,3,0,11,0,0,0,12.35,16.0,3162.47,0.07,45,0.06,175.69,197.65,0,3,6,12,0.29,16,29,7,14,14,0.0,11,False
51,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
52,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,2,False
53,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
54,0,5,1,0,1,8,3,0.3,4,1,0,9,1,0,10,0,0,0,15.82,9.29,1364.49,0.05,34,0.11,75.81,146.95,0,2,4,8,0.23,10,24,7,13,13,9.09,10,False
55,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,0,0,2,1.0,1,4,1,4,1,0.0,0,False
56,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,1,0,0,2,1.0,0,3,0,3,1,0.0,0,False
57,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
58,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
59,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
60,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,0,0,3,0.5,2,5,2,5,2,0.0,0,False
61,0,3,2,0,0,6,2,0.5,2,2,1,6,1,0,4,0,2,1,21.5,7.15,1099.18,0.05,35,0.14,61.07,153.73,0,2,3,6,0.33,13,22,10,11,6,0.0,4,False
62,0,1,2,0,0,0,1,1.0,0,1,1,3,1,0,0,0,1,1,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,1,0,0,4,1.0,2,7,2,6,1,0.0,0,False
63,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,1,0,0,3,0.5,4,8,4,7,2,0.0,0,False
64,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,2,False
65,0,1,0,0,0,0,1,0.33,0,1,1,1,1,0,3,0,0,0,13.2,2.5,82.5,0.01,11,0.4,4.58,33.0,1,0,0,2,0.2,5,6,4,4,5,0.0,3,False
66,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
67,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
68,3,5,0,6,7,8,3,0.23,4,1,0,9,1,0,7,2,3,1,18.89,8.44,1345.03,0.05,39,0.12,74.72,159.41,0,2,4,8,0.12,15,24,8,9,25,65.0,13,False
69,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.5,3,4,3,4,2,0.0,0,False
70,8,12,7,13,9,10,8,0.16,4,6,0,39,3,0,36,0,0,0,39.4,37.78,56237.13,0.5,268,0.03,3124.28,1488.63,0,3,5,33,0.12,102,166,27,20,68,37.93,49,False
71,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.5,3,6,3,6,2,0.0,0,False
72,0,1,2,0,2,0,1,0.17,0,1,1,3,1,0,6,0,1,1,9.21,11.25,1165.64,0.03,28,0.09,64.76,103.61,1,0,0,4,0.11,10,18,4,9,9,25.0,6,False
73,3,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,3,0.14,2,4,2,4,7,0.0,2,False
74,3,11,6,0,1,18,6,0.22,8,5,0,31,5,0,27,0,6,1,36.14,14.33,7425.49,0.17,101,0.07,412.53,518.05,0,5,9,27,0.18,43,58,21,14,33,3.57,27,False
75,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
76,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
77,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
78,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
79,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,8.3,6.67,369.01,0.02,16,0.15,20.5,55.35,1,0,0,2,0.5,5,11,3,8,2,0.0,0,False
80,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
81,2,1,0,4,0,0,1,0.07,0,1,1,1,1,0,11,3,1,1,42.87,12.22,6404.47,0.17,109,0.08,355.8,524.0,1,0,0,2,0.04,44,65,18,10,23,26.67,15,False
82,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.25,1,3,1,3,4,0.0,2,False
83,1,3,1,0,0,4,2,0.4,2,1,0,6,1,0,5,0,1,0,12.37,6.0,445.39,0.02,19,0.17,24.74,74.23,0,1,2,6,0.25,6,13,5,10,8,0.0,5,False
84,0,3,2,0,0,4,2,0.67,2,2,1,6,1,0,3,0,2,1,14.28,4.0,228.44,0.02,15,0.25,12.69,57.11,0,1,2,6,0.4,6,9,6,8,5,0.0,3,False
85,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.25,2,3,2,3,4,0.0,2,False
86,4,5,5,0,4,8,3,0.2,4,3,1,18,1,0,15,0,3,1,43.59,6.0,1569.11,0.09,55,0.17,87.17,261.51,0,2,4,17,0.12,24,31,18,9,25,21.05,15,False
87,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
88,1,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.2,2,3,2,3,5,0.0,2,False
89,6,3,1,0,0,0,2,0.5,0,2,1,6,1,0,4,0,2,1,9.08,5.33,258.3,0.02,14,0.19,14.35,48.43,0,0,0,6,0.15,4,10,3,8,13,0.0,4,False
90,3,5,0,0,0,8,3,0.23,4,1,0,12,1,0,13,0,3,1,15.75,12.09,2302.09,0.06,41,0.08,127.89,190.4,0,2,4,11,0.17,19,22,11,14,18,0.0,13,False
91,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
92,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1.0,2,4,2,4,1,0.0,0,False
93,0,3,1,0,0,4,2,0.33,2,2,1,5,1,0,6,0,0,0,7.4,6.0,266.27,0.01,14,0.17,14.79,44.38,0,1,2,5,0.25,6,8,3,6,8,0.0,6,False
94,3,3,0,0,3,4,2,0.25,2,1,0,6,1,0,8,0,0,0,16.18,6.43,668.57,0.03,26,0.16,37.14,104.0,0,1,2,6,0.13,10,16,7,9,16,27.27,8,False
95,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.25,1,3,1,3,4,0.0,2,False
96,1,1,0,0,4,0,1,0.25,0,1,1,1,1,0,4,0,0,0,21.67,1.8,70.2,0.01,13,0.56,3.9,39.0,1,0,0,2,0.09,6,7,5,3,11,50.0,4,False
97,16,11,5,1,23,20,6,0.16,10,6,1,31,1,0,36,0,0,0,35.32,41.43,60620.78,0.49,262,0.02,3367.82,1463.26,0,5,10,27,0.08,116,146,28,20,78,40.0,37,False
98,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
99,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.2,1,3,1,3,5,0.0,2,False
100,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
101,4,5,2,0,0,0,1,0.13,0,1,1,11,1,0,8,0,0,0,17.83,12.6,2830.76,0.07,49,0.08,157.26,224.66,1,0,0,10,0.06,18,31,10,14,18,0.0,8,False
102,1,5,6,0,3,8,3,0.16,4,3,1,14,1,0,19,0,3,1,19.07,10.91,2270.01,0.07,46,0.09,126.11,208.08,0,2,4,13,0.12,20,26,11,12,25,13.64,19,False
103,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,False
104,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
105,3,3,1,0,0,4,2,0.15,2,1,0,6,1,0,13,0,0,0,5.57,34.83,6763.77,0.06,51,0.03,375.76,194.18,0,1,2,6,0.11,19,32,3,11,18,0.0,13,False
106,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
107,0,3,1,0,0,4,2,1.0,2,2,1,6,1,0,0,0,2,1,6.69,7.5,376.42,0.02,14,0.13,20.91,50.19,0,1,2,6,1.0,5,9,3,9,2,0.0,0,False
108,3,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,3,0.14,2,4,2,4,7,0.0,2,False
109,0,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,1,1,10.24,7.0,501.89,0.02,20,0.14,27.88,71.7,1,0,0,3,0.17,7,13,4,8,6,0.0,4,False
110,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,2,1,1,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.5,3,6,3,6,2,0.0,0,False
111,1,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.2,2,3,2,3,5,0.0,2,False
112,1,5,3,0,0,8,3,0.23,4,3,1,15,1,0,13,0,2,0,16.4,7.07,820.29,0.04,29,0.14,45.57,116.0,0,2,4,14,0.19,11,18,7,9,16,0.0,13,False
113,0,1,2,0,0,0,1,1.0,0,1,1,3,1,0,0,0,1,1,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,1,0,0,4,0.5,3,5,3,4,2,0.0,0,False
114,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.5,3,6,3,6,2,0.0,0,False
115,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
116,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1.0,2,4,2,4,1,0.0,0,False
117,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
118,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
119,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.5,3,6,3,6,2,0.0,0,False
120,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.25,2,3,2,3,4,0.0,2,False
121,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,0,0,3,1.0,1,6,1,6,1,0.0,0,False
122,14,1,1,2,4,0,1,0.03,0,1,1,6,1,0,36,0,0,0,96.51,10.29,10209.86,0.33,192,0.1,567.21,992.63,1,0,0,7,0.02,72,120,28,8,58,14.29,38,False
123,0,3,0,0,1,4,2,0.25,2,1,0,6,1,0,8,0,2,1,8.88,9.0,719.59,0.03,21,0.11,39.98,79.95,0,1,2,6,0.18,10,11,5,9,11,11.11,8,False
124,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,1,0,0,2,1.0,0,3,0,3,1,0.0,0,False
125,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,0,False
126,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
127,0,3,0,0,0,6,2,1.0,2,1,0,5,1,0,0,0,0,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0,2,3,5,2.0,2,4,2,4,1,0.0,0,False
128,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,8.6,7.5,483.97,0.02,18,0.13,26.89,64.53,1,0,0,2,0.5,5,13,3,9,2,0.0,0,False
