loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects,id
29.0,5.0,1.0,2.0,111.0,569.35,0.05,20.78,27.4,11829.84,0.19,657.21,0,17,6,0,17.0,18.0,67.0,44.0,9.0,False,66
18.0,3.0,1.0,1.0,91.0,459.04,0.08,12.89,35.6,5919.2,0.15,328.84,1,11,8,0,14.0,19.0,56.0,35.0,5.0,False,67
55.0,11.0,5.0,8.0,217.0,1311.63,0.04,26.83,48.89,35190.17,0.44,1955.01,0,8,17,0,25.0,41.0,129.0,88.0,21.0,False,68
47.0,3.0,1.0,1.0,150.0,937.19,0.06,15.65,59.87,14671.27,0.31,815.07,0,39,14,0,21.0,55.0,68.0,82.0,5.0,False,69
32.0,6.0,4.0,2.0,95.0,498.55,0.04,22.85,21.82,11393.4,0.17,632.97,2,14,10,0,21.0,17.0,58.0,37.0,11.0,False,70
32.0,3.0,1.0,1.0,538.0,3124.36,0.02,53.2,58.73,166215.79,1.04,9234.21,3,13,22,0,16.0,40.0,272.0,266.0,5.0,False,71
38.0,4.0,1.0,1.0,165.0,911.39,0.04,24.28,37.54,22126.47,0.3,1229.25,0,11,10,0,19.0,27.0,96.0,69.0,6.0,False,72
14.0,2.0,1.0,1.0,56.0,260.06,0.14,7.07,36.78,1838.97,0.09,102.16,0,0,0,0,11.0,14.0,38.0,18.0,3.0,False,73
60.0,5.0,1.0,5.0,331.0,2164.46,0.05,22.12,97.85,47876.6,0.72,2659.81,9,14,39,0,26.0,67.0,217.0,114.0,9.0,False,74
10.0,1.0,1.0,1.0,32.0,125.02,0.16,6.13,20.41,765.75,0.04,42.54,0,2,5,0,7.0,8.0,18.0,14.0,1.0,False,75
16.0,3.0,1.0,3.0,73.0,358.2,0.11,9.0,39.8,3223.83,0.12,179.1,10,6,9,0,12.0,18.0,46.0,27.0,5.0,False,76
12.0,2.0,1.0,2.0,33.0,142.62,0.16,6.11,23.34,871.59,0.05,48.42,0,4,4,0,11.0,9.0,23.0,10.0,3.0,False,77
13.0,2.0,1.0,1.0,41.0,174.17,0.1,9.63,18.1,1676.34,0.06,93.13,0,0,3,0,11.0,8.0,27.0,14.0,3.0,False,78
16.0,2.0,1.0,2.0,42.0,192.57,0.11,9.1,21.16,1752.37,0.06,97.35,0,13,5,0,14.0,10.0,29.0,13.0,3.0,False,79
27.0,4.0,3.0,3.0,95.0,521.73,0.06,18.12,28.78,9456.28,0.17,525.35,3,5,22,0,25.0,20.0,66.0,29.0,7.0,False,80
31.0,5.0,4.0,4.0,110.0,604.1,0.06,17.25,35.02,10420.79,0.2,578.93,3,15,19,0,23.0,22.0,77.0,33.0,9.0,False,81
10.0,1.0,1.0,1.0,10.0,28.07,0.5,2.0,14.04,56.15,0.01,3.12,0,1,5,0,4.0,3.0,7.0,3.0,1.0,False,82
37.0,5.0,1.0,3.0,93.0,494.94,0.06,16.0,30.93,7919.03,0.16,439.95,2,28,12,0,20.0,20.0,61.0,32.0,9.0,False,83
8.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,5.0,3.0,6.0,3.0,1.0,False,84
8.0,1.0,1.0,1.0,33.0,134.89,0.16,6.19,21.8,834.61,0.04,46.37,0,2,6,0,9.0,8.0,22.0,11.0,1.0,False,85
9.0,1.0,1.0,1.0,44.0,183.48,0.14,7.0,26.21,1284.34,0.06,71.35,1,5,5,0,9.0,9.0,30.0,14.0,1.0,False,86
9.0,1.0,1.0,1.0,36.0,140.65,0.12,8.25,17.05,1160.35,0.05,64.45,0,5,3,0,9.0,6.0,25.0,11.0,1.0,False,87
7.0,1.0,1.0,1.0,8.0,22.46,0.4,2.5,8.98,56.15,0.01,3.12,0,1,2,0,5.0,2.0,6.0,2.0,1.0,False,88
26.0,4.0,3.0,2.0,99.0,511.82,0.08,13.2,38.77,6756.06,0.17,375.34,0,6,5,0,16.0,20.0,66.0,33.0,7.0,False,89
7.0,1.0,1.0,1.0,25.0,97.67,0.17,6.0,16.28,586.03,0.03,32.56,0,2,5,0,9.0,6.0,17.0,8.0,1.0,False,90
14.0,1.0,1.0,1.0,86.0,365.32,0.08,13.05,27.99,4767.45,0.12,264.86,0,6,5,0,9.0,10.0,57.0,29.0,1.0,False,91
9.0,1.0,1.0,1.0,14.0,46.51,0.21,4.67,9.97,217.03,0.02,12.06,0,0,4,0,7.0,3.0,10.0,4.0,1.0,False,92
11.0,1.0,1.0,1.0,23.0,82.45,0.14,7.0,11.78,577.18,0.03,32.07,0,0,5,0,8.0,4.0,16.0,7.0,1.0,False,93
34.0,6.0,1.0,3.0,135.0,745.68,0.08,12.6,59.16,9398.15,0.25,522.12,0,8,6,0,17.0,29.0,92.0,43.0,11.0,False,94
7.0,1.0,1.0,1.0,11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,1,4,0,7.0,2.0,9.0,2.0,1.0,False,95
31.0,7.0,1.0,5.0,126.0,618.27,0.04,23.5,26.31,14529.3,0.21,807.18,2,30,21,0,15.0,15.0,79.0,47.0,13.0,False,96
8.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,5.0,3.0,6.0,3.0,1.0,False,97
6.0,1.0,1.0,1.0,10.0,30.0,0.33,3.0,10.0,90.0,0.01,5.0,0,0,2,0,6.0,2.0,8.0,2.0,1.0,False,98
7.0,1.0,1.0,1.0,10.0,33.22,0.29,3.5,9.49,116.27,0.01,6.46,0,0,2,0,7.0,3.0,7.0,3.0,1.0,False,99
15.0,2.0,1.0,1.0,60.0,285.29,0.13,7.6,37.54,2168.23,0.1,120.46,0,0,7,0,12.0,15.0,41.0,19.0,3.0,False,100
16.0,1.0,1.0,1.0,64.0,289.51,0.12,8.36,34.64,2419.46,0.1,134.41,0,0,7,0,9.0,14.0,38.0,26.0,1.0,False,101
19.0,1.0,1.0,1.0,64.0,293.44,0.1,9.73,30.16,2855.37,0.1,158.63,0,1,13,0,11.0,13.0,41.0,23.0,1.0,False,102
130.0,29.0,7.0,27.0,729.0,5103.0,0.02,55.88,91.32,285170.84,1.7,15842.82,45,13,53,0,34.0,94.0,420.0,309.0,57.0,False,103
30.0,4.0,1.0,4.0,122.0,630.73,0.05,20.71,30.45,13065.14,0.21,725.84,3,3,12,0,15.0,21.0,64.0,58.0,7.0,False,104
34.0,6.0,1.0,6.0,146.0,771.67,0.08,12.0,64.31,9260.02,0.26,514.45,4,0,10,0,12.0,27.0,92.0,54.0,11.0,False,105
20.0,6.0,6.0,2.0,241.0,1299.55,0.02,46.0,28.25,59779.23,0.43,3321.07,1,6,6,0,23.0,19.0,165.0,76.0,11.0,False,106
17.0,2.0,1.0,1.0,53.0,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0,0,7,0,15.0,12.0,30.0,23.0,3.0,False,107
17.0,2.0,1.0,1.0,53.0,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0,0,6,0,15.0,12.0,30.0,23.0,3.0,False,108
26.0,8.0,8.0,1.0,210.0,1125.09,0.04,23.02,48.87,25900.42,0.38,1438.91,0,5,3,0,17.0,24.0,145.0,65.0,15.0,False,109
10.0,1.0,1.0,1.0,22.0,69.74,0.18,5.63,12.4,392.28,0.02,21.79,0,0,0,0,5.0,4.0,13.0,9.0,1.0,False,110
6.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,6.0,4.0,7.0,4.0,1.0,False,111
8.0,1.0,1.0,1.0,11.0,30.88,0.38,2.67,11.58,82.35,0.01,4.57,0,0,3,0,4.0,3.0,7.0,4.0,1.0,False,112
93.0,17.0,7.0,6.0,407.0,2692.19,0.02,48.06,56.02,129374.54,0.9,7187.47,13,55,24,0,35.0,63.0,234.0,173.0,33.0,False,113
128.0,25.0,12.0,9.0,790.0,5664.24,0.02,54.33,104.25,307757.08,1.89,17097.62,33,58,2,0,36.0,108.0,464.0,326.0,49.0,False,114
28.0,3.0,1.0,3.0,103.0,551.83,0.09,11.69,47.22,6449.49,0.18,358.3,0,11,1,0,17.0,24.0,70.0,33.0,5.0,False,115
19.0,2.0,1.0,2.0,62.0,312.75,0.11,9.41,33.23,2943.55,0.1,163.53,0,3,1,0,16.0,17.0,42.0,20.0,3.0,False,116
19.0,2.0,1.0,2.0,57.0,282.39,0.11,8.91,31.71,2515.03,0.09,139.72,0,3,2,0,15.0,16.0,38.0,19.0,3.0,False,117
21.0,3.0,1.0,3.0,62.0,298.06,0.12,8.63,34.56,2570.73,0.1,142.82,0,2,2,0,12.0,16.0,39.0,23.0,5.0,False,118
154.0,17.0,10.0,13.0,695.0,5143.61,0.03,38.57,133.35,198396.43,1.71,11022.02,20,119,26,0,36.0,133.0,410.0,285.0,28.0,False,119
125.0,18.0,1.0,13.0,438.0,3131.59,0.02,40.25,77.8,126046.47,1.04,7002.58,13,50,21,0,46.0,96.0,270.0,168.0,31.0,False,120
14.0,2.0,1.0,1.0,24.0,100.08,0.13,7.86,12.74,786.33,0.03,43.68,0,1,4,0,11.0,7.0,14.0,10.0,3.0,False,121
127.0,30.0,8.0,5.0,690.0,4697.07,0.03,36.21,129.72,170066.5,1.57,9448.14,7,39,5,0,25.0,87.0,438.0,252.0,59.0,False,122
12.0,1.0,1.0,1.0,29.0,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,5.0,9.0,17.0,12.0,1.0,False,123
18.0,2.0,1.0,2.0,72.0,372.23,0.09,11.63,32.0,4329.68,0.12,240.54,0,9,2,0,17.0,19.0,46.0,26.0,3.0,False,124
20.0,3.0,1.0,3.0,89.0,452.78,0.09,11.56,39.18,5232.17,0.15,290.68,0,3,5,0,16.0,18.0,63.0,26.0,5.0,False,125
36.0,4.0,1.0,4.0,156.0,851.67,0.06,17.63,48.31,15014.65,0.28,834.15,2,13,3,0,17.0,27.0,100.0,56.0,6.0,False,126
160.0,32.0,7.0,20.0,488.0,3442.98,0.04,22.73,151.5,78244.98,1.15,4346.94,12,33,22,0,29.0,104.0,325.0,163.0,58.0,False,127
47.0,10.0,9.0,7.0,318.0,1980.76,0.05,18.86,105.02,37359.42,0.66,2075.52,6,7,8,0,21.0,54.0,221.0,97.0,19.0,False,128
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,False,129
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,False,130
38.0,4.0,3.0,1.0,153.0,892.43,0.07,14.75,60.5,13163.37,0.3,731.3,3,35,2,0,19.0,38.0,94.0,59.0,7.0,False,131
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,False,132
12.0,1.0,1.0,1.0,21.0,75.28,0.5,2.0,37.64,150.57,0.03,8.36,0,0,0,0,4.0,8.0,13.0,8.0,1.0,False,133
12.0,1.0,1.0,1.0,25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4.0,9.0,13.0,12.0,1.0,False,134
9.0,1.0,1.0,1.0,25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4.0,9.0,13.0,12.0,1.0,False,135
41.0,2.0,1.0,2.0,241.0,1472.15,0.06,15.69,93.81,23101.5,0.49,1283.42,0,7,14,0,17.0,52.0,145.0,96.0,3.0,False,136
30.0,2.0,1.0,2.0,151.0,852.22,0.07,14.68,58.05,12512.17,0.28,695.12,0,6,5,0,17.0,33.0,94.0,57.0,3.0,False,137
6.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,False,138
20.0,5.0,1.0,1.0,63.0,288.85,0.05,21.0,13.75,6065.91,0.1,336.99,0,0,4,0,16.0,8.0,42.0,21.0,9.0,False,139
149.0,15.0,11.0,6.0,781.0,5575.99,0.02,46.92,118.83,261640.64,1.86,14535.59,2,65,10,0,31.0,110.0,448.0,333.0,29.0,False,140
6.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,4.0,3.0,5.0,3.0,1.0,False,141
16.0,3.0,1.0,2.0,70.0,353.11,0.13,7.71,45.77,2723.97,0.12,151.33,2,18,10,0,12.0,21.0,43.0,27.0,5.0,False,142
15.0,1.0,1.0,1.0,46.0,179.72,0.19,5.25,34.23,943.51,0.06,52.42,0,0,5,0,5.0,10.0,25.0,21.0,1.0,False,143
13.0,1.0,1.0,1.0,69.0,298.21,0.06,15.5,19.24,4622.3,0.1,256.79,0,6,5,0,10.0,10.0,38.0,31.0,1.0,False,144
6.0,1.0,1.0,1.0,13.0,44.97,0.29,3.5,12.85,157.4,0.01,8.74,0,0,0,0,7.0,4.0,9.0,4.0,1.0,False,145
14.0,2.0,1.0,1.0,37.0,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,10.0,7.0,24.0,13.0,3.0,False,146
14.0,2.0,1.0,1.0,37.0,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,10.0,7.0,24.0,13.0,3.0,False,147
27.0,3.0,1.0,1.0,130.0,744.63,0.08,12.04,61.85,8964.95,0.25,498.05,0,39,12,0,15.0,38.0,69.0,61.0,5.0,False,148
19.0,2.0,1.0,2.0,60.0,300.0,0.11,9.5,31.58,2850.0,0.1,158.33,0,6,0,0,16.0,16.0,41.0,19.0,3.0,False,149
21.0,2.0,1.0,2.0,105.0,525.0,0.04,23.0,22.83,12075.0,0.18,670.83,6,6,3,0,16.0,16.0,59.0,46.0,3.0,False,150
6.0,1.0,1.0,1.0,13.0,43.19,0.27,3.75,11.52,161.94,0.01,9.0,0,0,1,0,6.0,4.0,8.0,5.0,1.0,False,151
16.0,3.0,3.0,2.0,40.0,185.75,0.13,7.64,24.32,1418.49,0.06,78.8,0,5,0,0,14.0,11.0,28.0,12.0,5.0,False,152
55.0,9.0,1.0,3.0,292.0,1738.63,0.03,33.32,52.18,57931.89,0.58,3218.44,12,20,10,0,23.0,39.0,179.0,113.0,17.0,False,153
6.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,False,154
9.0,1.0,1.0,1.0,18.0,62.27,0.44,2.29,27.24,142.33,0.02,7.91,0,0,1,0,4.0,7.0,10.0,8.0,1.0,False,155
12.0,1.0,1.0,1.0,29.0,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,5.0,9.0,17.0,12.0,1.0,False,156
12.0,1.0,1.0,1.0,25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4.0,9.0,13.0,12.0,1.0,False,157
69.0,19.0,19.0,13.0,418.0,2746.2,0.03,36.57,75.09,100429.38,0.92,5579.41,0,18,24,0,31.0,64.0,267.0,151.0,37.0,False,158
138.0,25.0,1.0,24.0,625.0,4677.38,0.04,27.21,171.89,127275.78,1.56,7070.88,1,58,6,0,32.0,147.0,375.0,250.0,47.0,False,159
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,False,160
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,False,161
72.0,16.0,9.0,7.0,255.0,1573.33,0.05,18.26,86.16,28729.02,0.52,1596.06,1,19,6,0,22.0,50.0,172.0,83.0,31.0,False,162
6.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,False,163
6.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,0,0,4.0,1.0,4.0,1.0,1.0,False,164
6.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,False,165
6.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,4,0,0,5.0,3.0,6.0,3.0,1.0,False,166
11.0,1.0,1.0,1.0,22.0,73.08,0.47,2.14,34.11,156.61,0.02,8.7,0,0,0,0,3.0,7.0,12.0,10.0,1.0,False,167
23.0,4.0,1.0,4.0,75.0,396.41,0.09,11.57,34.26,4586.97,0.13,254.83,1,23,0,0,18.0,21.0,48.0,27.0,7.0,False,168
17.0,1.0,1.0,1.0,49.0,221.65,0.26,3.88,57.09,860.54,0.07,47.81,0,9,1,0,6.0,17.0,27.0,22.0,1.0,False,169
60.0,13.0,1.0,6.0,155.0,919.26,0.07,13.9,66.12,12780.02,0.31,710.0,4,15,0,0,20.0,41.0,98.0,57.0,19.0,False,170
